Date,Hour,sellFullPlannedVolume
2012-01-09,6,86851.398
2012-01-09,7,88366.742
2012-01-09,8,90738.625
2012-01-09,9,92684.859
2012-01-09,10,93981.445
2012-01-09,11,94701.008
2012-01-09,12,94984.109
2012-01-09,13,95211.227
2012-01-09,14,95819.766
2012-01-09,15,96493.922
2012-01-09,16,98353.352
2012-01-09,17,100040.867
2012-01-09,18,100705.266
2012-01-09,19,99943.375
2012-01-09,20,98459.555
2012-01-09,21,96297.922
2012-01-09,22,93494.742
2012-01-09,23,89792.391
2012-01-10,0,88851.391
2012-01-10,1,86568.695
2012-01-10,2,85667.125
2012-01-10,3,85905.266
2012-01-10,4,87463.820
2012-01-10,5,89319.773
2012-01-10,6,93458.727
2012-01-10,7,97989.148
2012-01-10,8,102049.094
2012-01-10,9,104033.242
2012-01-10,10,104153.773
2012-01-10,11,103477.453
2012-01-10,12,103521.133
2012-01-10,13,103847.758
2012-01-10,14,103918.547
2012-01-10,15,103925.398
2012-01-10,16,105283.719
2012-01-10,17,106581.617
2012-01-10,18,106591.367
2012-01-10,19,105387.742
2012-01-10,20,103342.781
2012-01-10,21,101121.422
2012-01-10,22,97226.172
2012-01-10,23,92549.148
2012-01-11,0,90281.586
2012-01-11,1,87945.484
2012-01-11,2,87052.031
2012-01-11,3,86697.031
2012-01-11,4,88084.406
2012-01-11,5,89908.078
2012-01-11,6,94541.648
2012-01-11,7,99336.617
2012-01-11,8,103340.539
2012-01-11,9,105060.898
2012-01-11,10,104633.461
2012-01-11,11,103722.617
2012-01-11,12,103933.180
2012-01-11,13,104689.305
2012-01-11,14,104831.141
2012-01-11,15,104698.656
2012-01-11,16,105754.562
2012-01-11,17,106791.867
2012-01-11,18,106967.812
2012-01-11,19,105569.383
2012-01-11,20,103228.797
2012-01-11,21,101220.656
2012-01-11,22,97497.500
2012-01-11,23,92690.336
2012-01-12,0,90421.195
2012-01-12,1,88259.289
2012-01-12,2,87196.633
2012-01-12,3,87234.852
2012-01-12,4,88412.734
2012-01-12,5,89861.227
2012-01-12,6,94419.328
2012-01-12,7,99754.758
2012-01-12,8,103920.000
2012-01-12,9,105676.922
2012-01-12,10,105470.391
2012-01-12,11,104468.883
2012-01-12,12,104268.680
2012-01-12,13,104757.234
2012-01-12,14,104802.789
2012-01-12,15,104606.430
2012-01-12,16,104947.445
2012-01-12,17,106082.844
2012-01-12,18,106700.602
2012-01-12,19,105424.109
2012-01-12,20,103228.891
2012-01-12,21,100957.469
2012-01-12,22,97320.570
2012-01-12,23,92742.742
2012-01-13,0,90474.109
2012-01-13,1,88110.094
2012-01-13,2,87241.000
2012-01-13,3,87341.961
2012-01-13,4,88640.672
2012-01-13,5,89933.312
2012-01-13,6,94759.570
2012-01-13,7,99935.062
2012-01-13,8,104084.117
2012-01-13,9,105702.188
2012-01-13,10,105282.547
2012-01-13,11,104140.367
2012-01-13,12,103885.172
2012-01-13,13,104229.617
2012-01-13,14,104197.164
2012-01-13,15,103935.680
2012-01-13,16,104298.812
2012-01-13,17,105747.695
2012-01-13,18,106703.203
2012-01-13,19,105445.945
2012-01-13,20,103271.250
2012-01-13,21,101017.359
2012-01-13,22,97388.375
2012-01-13,23,92699.016
2012-01-14,0,90386.695
2012-01-14,1,87462.633
2012-01-14,2,86237.961
2012-01-14,3,85910.945
2012-01-14,4,86204.289
2012-01-14,5,86672.227
2012-01-14,6,89679.766
2012-01-14,7,93078.797
2012-01-14,8,96266.016
2012-01-14,9,98378.547
2012-01-14,10,99084.875
2012-01-14,11,99141.852
2012-01-14,12,98814.891
2012-01-14,13,98640.805
